age_group,income_group,city_tier,purchase_frequency,preowned_willingness,auth_importance,discount_threshold,trust_score,max_spend,luxe_loop_interest
35-44,1L-2L,Tier 2,Frequently,No,High,10-20%,4.81,14665,1
45+,50K-1L,Tier 2,Frequently,Definitely,High,20-40%,2.78,163169,1
18-24,2L+,Tier 2,Occasionally,No,High,40%+,1.7,57474,1
35-44,<25K,Tier 2,Rarely,No,High,40%+,1.79,208045,0
35-44,2L+,Tier 2,Never,Maybe,High,40%+,2.12,80911,0
45+,<25K,Tier 1,Rarely,Maybe,Medium,10-20%,5.0,97643,0
18-24,25-50K,Tier 3,Never,Definitely,High,0%,2.07,297628,1
18-24,<25K,Tier 2,Occasionally,Maybe,High,10-20%,2.32,264383,0
35-44,1L-2L,Tier 2,Never,Maybe,High,40%+,3.64,181682,0
25-34,50K-1L,Tier 3,Never,Maybe,High,40%+,2.18,186879,1
35-44,25-50K,Tier 1,Occasionally,Definitely,Low,40%+,1.86,292979,0
35-44,<25K,Tier 3,Rarely,Maybe,High,10-20%,1.63,231351,1
35-44,2L+,Tier 3,Occasionally,Definitely,High,40%+,2.25,101453,0
35-44,25-50K,Tier 2,Never,No,Medium,20-40%,1.42,58790,0
45+,25-50K,Tier 3,Occasionally,Maybe,Low,40%+,1.07,213032,0
18-24,<25K,Tier 3,Never,Definitely,Medium,0%,4.22,276787,0
45+,25-50K,Tier 2,Occasionally,Maybe,High,20-40%,1.55,18200,0
45+,2L+,Tier 2,Frequently,No,Medium,40%+,4.1,57275,1
45+,25-50K,Tier 2,Frequently,Definitely,Medium,20-40%,4.19,157363,0
35-44,2L+,Tier 2,Occasionally,Definitely,High,40%+,3.15,96685,0
25-34,<25K,Tier 3,Rarely,Definitely,Low,0%,2.24,277763,0
18-24,50K-1L,Tier 3,Never,No,Low,40%+,1.58,110454,0
25-34,25-50K,Tier 1,Frequently,No,Medium,20-40%,3.95,6766,0
45+,50K-1L,Tier 1,Rarely,No,High,0%,3.41,270693,0
45+,2L+,Tier 3,Never,Definitely,Medium,10-20%,3.62,154765,0
25-34,25-50K,Tier 1,Frequently,No,Medium,0%,1.03,261356,1
25-34,1L-2L,Tier 3,Frequently,Maybe,Medium,0%,4.71,225172,1
25-34,50K-1L,Tier 1,Occasionally,No,High,0%,1.27,30301,0
45+,25-50K,Tier 2,Never,Definitely,High,20-40%,2.47,49763,1
45+,50K-1L,Tier 1,Rarely,Maybe,Low,0%,2.61,156837,0
18-24,25-50K,Tier 2,Rarely,No,High,40%+,1.01,12425,1
18-24,<25K,Tier 2,Rarely,Maybe,Medium,0%,2.99,280001,0
45+,50K-1L,Tier 2,Never,Maybe,Medium,0%,4.01,188843,0
25-34,1L-2L,Tier 2,Rarely,Definitely,Low,40%+,4.29,264561,1
25-34,1L-2L,Tier 1,Rarely,Maybe,High,40%+,4.52,46457,0
18-24,2L+,Tier 3,Rarely,Maybe,Medium,10-20%,2.95,215813,1
45+,25-50K,Tier 2,Occasionally,Definitely,Low,0%,3.52,10452,0
18-24,50K-1L,Tier 1,Occasionally,Definitely,Low,20-40%,1.32,116153,0
18-24,2L+,Tier 2,Never,Definitely,Medium,0%,2.95,197543,0
35-44,50K-1L,Tier 1,Never,Maybe,Medium,0%,1.62,285444,0
